Zip Code,City,County,Population
20019,Washington,District Of Columbia County,63829
11435,Jamaica,Queens County,59605
93536,Lancaster,Los Angeles County,70237
78577,Pharr,Hidalgo County,78103
93312,Bakersfield,Kern County,61628
28027,Concord,Cabarrus County,68716
11372,Jackson Heights,Queens County,62854
92804,Anaheim,Orange County,89915
92376,Rialto,San Bernardino County,86085
94538,Fremont,Alameda County,67474
60016,Des Plaines,Cook County,59291
33157,Miami,Miami-Dade County,67455
93274,Tulare,Tulare County,74000
90042,Los Angeles,Los Angeles County,63193
74012,Broken Arrow,Tulsa County,62622
78641,Leander,Williamson County,72078
30044,Lawrenceville,Gwinnett County,89139
77449,Katy,Harris County,128294
11432,Jamaica,Queens County,64299
77494,Katy,Fort Bend County,118291
10452,Bronx,Bronx County,75452
85326,Buckeye,Maricopa County,63317
92801,Anaheim,Orange County,66594
77083,Houston,Harris County,78298
92507,Riverside,Riverside County,59152
78521,Brownsville,Cameron County,90687
75227,Dallas,Dallas County,59924
72401,Jonesboro,Craighead County,58725
87114,Albuquerque,Bernalillo County,68789
89108,Las Vegas,Clark County,73991
78254,San Antonio,Bexar County,59107
85122,Casa Grande,Pinal County,58724
60628,Chicago,Cook County,64254
90066,Los Angeles,Los Angeles County,59167
47906,West Lafayette,Tippecanoe County,77702
21234,Parkville,Baltimore County,68381
27610,Raleigh,Wake County,79924
60634,Chicago,Cook County,75082
78613,Cedar Park,Williamson County,81943
27858,Greenville,Pitt County,59182
11691,Far Rockaway,Queens County,68543
11385,Ridgewood,Queens County,107796
78245,San Antonio,Bexar County,76518
76179,Fort Worth,Tarrant County,65496
20011,Washington,District Of Columbia County,69710
92630,Lake Forest,Orange County,59403
60632,Chicago,Cook County,89857
28078,Huntersville,Mecklenburg County,61043
90001,Los Angeles,Los Angeles County,59832
76137,Fort Worth,Tarrant County,60385
60657,Chicago,Cook County,70958
94806,San Pablo,Contra Costa County,64286
33411,West Palm Beach,Palm Beach County,72546
23452,Virginia Beach,Virginia Beach City County,58996
76028,Burleson,Johnson County,70507
30906,Augusta,Richmond County,59609
95624,Elk Grove,Sacramento County,65948
63376,St. Peters,St. Charles County,75395
75040,Garland,Dallas County,62417
29445,Goose Creek,Berkeley County,59342
91950,National City,San Diego County,62859
93065,Simi Valley,Ventura County,71832
77379,Spring,Harris County,81368
85225,Chandler,Maricopa County,70356
90250,Hawthorne,Los Angeles County,97072
95355,Modesto,Stanislaus County,59621
92592,Temecula,Riverside County,84930
95076,Watsonville,Santa Cruz County,86905
10457,Bronx,Bronx County,74822
42101,Bowling Green,Warren County,61768
11375,Forest Hills,Queens County,73034
79912,El Paso,El Paso County,78267
27587,Wake Forest,Wake County,68491
95035,Milpitas,Santa Clara County,79655
33142,Miami,Miami-Dade County,59073
10032,New York City,New York County,63214
92114,San Diego,San Diego County,68851
10312,Staten Island,Richmond County,61392
93535,Lancaster,Los Angeles County,74264
93230,Hanford,Kings County,67605
90006,Los Angeles,Los Angeles County,59576
33125,Miami,Miami-Dade County,61156
11210,Brooklyn,Kings County,64665
00926,San Juan,"San Juan County, PR",93330
92703,Santa Ana,Orange County,69112
33511,Brandon,Hillsborough County,58833
95630,Folsom,Sacramento County,78159
19143,Philadelphia,Philadelphia County,64630
93306,Bakersfield,Kern County,72280
94587,Union City,Alameda County,74722
11229,Brooklyn,Kings County,83119
30043,Lawrenceville,Gwinnett County,91378
98682,Vancouver,Clark County,60887
92563,Murrieta,Riverside County,69469
11746,Huntington Station,Suffolk County,67863
94122,San Francisco,San Francisco County,62128
11234,Brooklyn,Kings County,93534
06010,Bristol,Hartford County,60218
92115,San Diego,San Diego County,64343
33023,Hollywood,Broward County,73973
11223,Brooklyn,Kings County,81388
48197,Ypsilanti,Washtenaw County,68108
75243,Dallas,Dallas County,68308
94112,San Francisco,San Francisco County,84707
28314,Fayetteville,Cumberland County,58827
30281,Stockbridge,Henry County,68456
21122,Pasadena,Anne Arundel County,61051
78250,San Antonio,Bexar County,61669
94544,Hayward,Alameda County,79747
23464,Virginia Beach,Virginia Beach City County,76421
90003,Los Angeles,Los Angeles County,73730
32765,Oviedo,Seminole County,64268
93033,Oxnard,Ventura County,84701
19134,Philadelphia,Philadelphia County,62087
60651,Chicago,Cook County,63492
94015,Daly City,San Mateo County,65041
75002,Allen,Collin County,71253
77373,Spring,Harris County,61501
93905,Salinas,Monterey County,60531
85204,Mesa,Maricopa County,67924
91331,Pacoima,Los Angeles County,105458
85364,Yuma,Yuma County,74333
60639,Chicago,Cook County,88204
92345,Hesperia,San Bernardino County,82110
60647,Chicago,Cook County,87633
11213,Brooklyn,Kings County,67056
79936,El Paso,El Paso County,111620
23322,Chesapeake,Chesapeake City County,64972
99654,Wasilla,Matanuska-Susitna County,64062
78666,San Marcos,Hays County,82923
75070,McKinney,Collin County,104415
29072,Lexington,Lexington County,60908
94501,Alameda,Alameda County,63821
75043,Garland,Dallas County,62601
32210,Jacksonville,Duval County,62048
00956,Bayamon,"Bayamon County, PR",63264
77433,Cypress,Harris County,90657
11218,Brooklyn,Kings County,72413
77479,Sugar Land,Fort Bend County,93848
80134,Parker,Douglas County,69163
10469,Bronx,Bronx County,72384
91744,La Puente,Los Angeles County,85421
20874,Germantown,Montgomery County,61087
60625,Chicago,Cook County,79444
33027,Hollywood,Broward County,60679
28173,Waxhaw,Union County,59559
30127,Powder Springs,Cobb County,70298
07047,North Bergen,Hudson County,61619
85041,Phoenix,Maricopa County,62152
33025,Hollywood,Broward County,73428
