zipcode,medianprice,activelistingcount
78521,234950,38
11375,399000,500
76179,343550,57
72401,164900,84
19143,185000,135
11372,395000,307
94112,1124500,17
91331,672500,28
27610,334500,42
91744,652000,19
90042,899499.5,45
92703,644500,12
11234,773500,220
93230,355000,68
11213,699000,82
33023,372500,66
92592,717950,55
94501,899888,11
77373,247450,102
93312,462450,34
60634,339000,120
78613,558000,54
60628,176250,159
90250,821999.5,21
10312,707500,91
85326,403000,89
92376,477900,39
11229,489000,263
30043,390000,176
27858,308495,37
23452,314450,49
7047,494000,157
20019,449500,79
30906,134950,55
94538,1039499.5,8
95624,671445,28
32765,555450,50
85364,259950,45
33027,282500,111
95076,1014500,25
28027,345000,45
11435,299000,115
21234,279950,50
77479,522000,100
11746,665848,80
89108,322500,119
79912,345000,71
75040,306000,34
60625,289444,106
77449,279999.5,81
93536,539950,238
30044,334950,112
6010,239950,65
30127,378190.5,209
93065,799950,25
60651,277449.5,56
75070,439950,25
60016,232450,116
92114,667500,26
60639,310950,34
93306,377434.5,51
74012,266950,30
91950,640000,14
20011,649250,153
29445,285600,35
23464,307950,65
10457,549900,16
92630,937450,19
33511,384500,28
93905,540000,4
42101,239900,87
77379,382000,107
92801,745000,12
78666,491633.5,129
95630,772000,56
80134,798063.5,49
75043,320000,36
11223,778500,78
60632,264700,32
19134,160000,231
94122,1428999.5,10
76137,326500,25
92345,452499.5,119
94015,998000,6
29072,343975,48
99654,472450,65
78577,235000,60
78250,246000,43
79936,230000,38
28314,165000,52
11210,699500,102
11218,539000,110
60657,379000,256
98682,522450,99
94544,782000,24
90001,540000,19
93535,414995,110
33125,364500,76
11432,407000,109
10452,214000,24
94587,837000,19
78254,424698.5,211
28173,646095,52
47906,325000,20
10469,579500,45
95035,1044975,15
92563,684000,57
23322,532200,117
78641,519563.5,130
90006,930000,28
94806,656250,24
76028,389900,60
28078,523285,62
77433,469990,146
85041,419450,47
33142,360000,60
92507,562500,31
32210,227450,92
33025,284500,76
48197,299850,48
92804,779900,20
30281,300000,110
95355,487500,29
93033,599949.5,9
20874,349949.5,32
87114,350000,37
92115,794500,21
60647,492450,123
10032,599000,82
90066,1625000,27
21122,399900,74
75227,287500,18
85225,446500,35
77083,267500,50
11691,608500,33
85122,359445,101
93274,369500,43
33157,539950,87
75002,478250,36
33411,434950,98
75243,357000,33
90003,577000,17
63376,267450,25
11385,854000,59
85204,407450,22
78245,349421,188
27587,532000,69
77494,467500,96
